roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.35108,1.6225,1.1517,0.18051,0.006581,0.000003,0.000001,0,0,82.544,18.466,17.245,17.295,20.217,0.33898,0.059226,1.0958,3.7389,0.13744,0.98621,0.27154,0.9361,1
0.45622,1.587,1.1287,0.17852,0.005936,0.000027,0.000003,0,0,74.744,6.1317,17.451,17.69,13.814,0.15599,0.031601,2.7219,11.189,0.15172,0.98771,0.22708,0.92912,1
0.47939,1.6321,1.0818,0.18039,0.006711,0.000077,0.000009,0,0.000001,85.269,20.738,17.985,18.843,22.999,-0.24923,-0.37778,0.81324,2.6205,0.13242,0.98748,0.23668,0.93691,1
0.43504,1.6297,1.1084,0.17997,0.006645,0.000037,0.000003,0,0,90.781,40.9,16.67,16.571,20.993,-0.22771,-0.39433,-0.13858,2.7288,0.12073,0.98766,0.24898,0.94248,1
0.5002,1.5215,1.1116,0.17535,0.004839,0.000107,0.000003,0,0,83.751,28.756,16.089,16.351,21.826,-0.11967,-0.28259,0.30356,2.2848,0.12138,0.98863,0.27503,0.94281,1
0.49397,1.4441,1.1032,0.17142,0.003636,0.000019,0,0,0,70.342,2.2008,17.557,16.76,9.0379,0.20718,0.20427,5.8634,47.482,0.16977,0.98573,0.21892,0.9222,1
0.41539,1.5456,1.1023,0.17752,0.005293,0.000074,0.000009,0,0.000001,80.278,14.109,15.468,15.426,18.327,0.15206,0.069004,1.4376,4.9248,0.11485,0.9897,0.28748,0.94587,1
0.46052,1.6684,1.1036,0.18199,0.00736,0.000032,0.000004,0,0,85.355,15.939,18.071,17.873,19.734,-0.28062,-0.3335,1.1633,3.6536,0.11544,0.98908,0.26547,0.94549,1
0.4796,1.5206,1.1357,0.17452,0.004781,0.000003,0,0,0,87.172,6.0896,17.323,17.811,13.138,-0.27036,-0.26133,2.719,11.776,0.12605,0.98814,0.26361,0.94052,1
0.33739,1.2294,1.159,0.1745,0.001263,0.00012,0.000002,0,0,66.559,0.36878,13.637,16.095,4.0713,0.11111,0.16916,15.626,305.07,0.10144,0.99377,0.31779,0.95211,2
0.26296,1.2693,1.1726,0.18259,0.001827,0.000254,0,0,0,76.278,18.751,14.961,17.188,17.497,0.30735,-0.13353,0.80063,3.1882,0.10039,0.99301,0.29141,0.95122,2
0.25903,1.249,1.1627,0.17379,0.001445,0.000127,0.000001,0,0,70.451,18.596,12.304,13.795,15.338,0.030064,-0.011524,0.78061,3.6846,0.12366,0.99163,0.2785,0.94004,2
0.31942,1.1696,1.1744,0.16927,0.000692,0.000083,0,0,0,66.908,2.7831,14.137,14.799,8.8223,0.50973,0.41809,4.9528,35.024,0.13025,0.99157,0.28051,0.93787,2
0.2857,1.2406,1.1179,0.17201,0.001334,0.000058,0.000001,0,0,75.778,6.0244,13.549,14.602,10.963,0.38117,0.13452,3.0095,15.894,0.14322,0.9903,0.25915,0.93101,2
0.30228,1.2165,1.134,0.1744,0.001139,0.000093,0,0,0,72.673,2.447,13.658,15.128,7.904,0.41133,0.072418,5.5258,45.719,0.13149,0.991,0.26478,0.93685,2
0.33635,1.1767,1.1879,0.17193,0.000769,0.000148,0.000001,0,0,72.681,1.7518,13.264,14.272,7.3746,0.2433,0.22148,7.3547,78.318,0.14436,0.98983,0.26239,0.93116,2
0.28217,1.2154,1.2218,0.17629,0.001153,0.000131,0,0,0,72.276,1.0594,12.718,14.03,6.174,0.20111,0.090341,8.4949,97.28,0.13599,0.99081,0.28795,0.93556,2
0.33479,1.2402,1.1783,0.17197,0.001329,0.000068,0.000001,0,0,75.296,11.728,12.58,13.575,13.765,-0.016277,-0.1447,1.5663,6.4344,0.11492,0.99133,0.28308,0.9455,2
0.24897,1.1601,1.2169,0.17754,0.000685,0.000257,0,0,0,77.681,3.4308,14.071,15.057,9.7654,0.20464,0.029271,4.5438,31.039,0.12209,0.99091,0.28877,0.94182,2
0.2847,1.3055,1.1659,0.17794,0.002148,0.000117,0.000001,0,0,73.75,1.82,12.082,13.67,7.0293,0.23335,-0.006794,6.2733,56.609,0.13074,0.99109,0.29153,0.93802,2
0.26361,1.1528,1.1703,0.1732,0.000598,0.000111,0.000001,0,0,77.923,0.3682,16.098,14.99,4.4619,0.22519,-0.097818,17.016,352.19,0.11443,0.99159,0.30539,0.94427,2
0.32583,1.1771,1.2139,0.17183,0.000772,0.000117,0,0,0,77.85,7.9813,12.387,13.696,12.569,0.17431,0.28171,2.3893,10.806,0.13017,0.99081,0.28146,0.93767,2
